@RELATION emotions
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BH_HighLowRatio numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@data
0.034741,0.089665,?,-73.302422,6.215179,0.615074,2.03716,0.804065,1.301409,0.558576,?,0.783788,?,0.458712,0.530384,0.812429,?,?,?,5.762173,?,?,?,0.764163,0.642705,0.617868,0.510265,0.566213,0.509149,0.477275,0.505073,0.463535,0.013519,?,0.009025,8.156257,1.077167,0.624711,?,0.399568,0.279947,?,0.231439,?,?,?,0.321896,0.290551,0.022774,0.095801,?,4.748694,?,?,?,0.1758,0.105508,0.168246,?,0.13602,?,0.100517,?,?,?,68,?,136,2,0.245457,?,0.405399,0,?,?,?,?,0
?,0.272747,0.085733,-62.584437,3.183163,-0.218145,0.163038,0.620251,0.458514,0.041426,0.308287,0.538152,0.594871,?,0.415489,0.761508,0.066288,0.26237,0.034438,3.480874,1.596532,0.943803,?,0.511229,?,0.523039,0.480916,0.488657,0.483166,?,0.415994,0.405593,0.013621,0.073041,0.010094,1.243981,0.82979,?,0.347831,0.205087,0.168601,0.178009,0.14408,?,?,0.12558,0.128202,0.107007,0.020028,0.06694,0.029483,3.963534,?,0.168389,0.117525,?,0.087046,?,0.059393,?,?,0.067684,0.070075,?,0.295031,?,0.276366,140,2,0.343547,0.276366,?,1,?,0,0,0,1
0.110545,0.273567,0.08441,-65.235325,2.794964,0.639047,1.281297,0.757896,?,?,?,0.644336,0.441556,?,?,0.158538,?,0.215373,?,4.834742,?,0.864034,?,0.780572,?,0.63974,0.573309,0.526312,?,0.538407,0.492292,?,0.029112,?,0.008525,?,?,0.761852,0.56874,0.589827,0.281181,0.437752,0.479889,?,?,0.273855,0.191804,0.198025,0.038119,0.065427,0.029622,?,0.430373,0.172862,0.177523,0.184333,?,?,0.109279,0.09065,?,0.100852,0.079917,?,0.161574,?,0,?,3,0.188693,0.045941,0.457372,?,?,0,0,0,1
0.042481,?,0.093447,-80.305152,5.824409,0.648848,?,?,0.739909,0.809644,0.460945,0.409566,0.680122,0.590405,0.48138,0.621956,?,0.281616,?,6.719538,1.377811,?,?,0.710955,?,0.710147,0.688825,?,?,0.533882,0.501818,0.495368,0.020749,0.106318,0.009108,3.992357,0.656429,?,0.569916,?,0.530714,0.317807,0.308447,?,?,0.359477,0.274257,0.233287,0.032678,0.11948,0.028707,?,0.461304,0.280751,0.246108,?,0.183657,?,0.155513,0.167114,?,0.112815,0.129145,?,?,66,0.206562,?,2,?,?,?,?,0,1,0,0,0
0.07455,0.14088,?,-93.697749,?,1.064262,0.899152,0.890336,0.702328,0.490685,0.796904,0.745373,0.911234,0.594429,?,0.384836,0.035751,?,0.029413,4.755293,1.11629,?,0.634988,0.63966,0.552653,0.527708,0.584705,0.696173,0.648611,0.689096,0.643595,0.578063,0.047014,0.136984,0.010356,7.71314,1.592642,?,0.591399,?,0.52442,0.554501,0.6062,0.61676,0.596926,0.524291,?,?,?,0.087741,0.03018,?,0.551937,0.257562,0.15995,0.175855,0.150907,0.142092,?,0.329188,0.251668,0.265049,0.284196,0.189988,?,100,0.144039,200,2,?,?,?,0,0,0,1,?,0
0.052434,0.110653,0.09677,-69.792637,6.598383,?,?,?,0.782427,-0.143505,?,?,0.325765,?,0.454723,?,?,0.18247,?,5.414537,1.64609,1.149108,0.903827,?,0.70045,0.610953,?,?,0.515551,0.473992,0.492629,0.467567,?,?,0.007909,3.835748,0.769825,0.808127,0.560954,?,?,0.542216,0.508029,0.473474,0.459661,0.355348,0.308208,?,?,?,0.027889,4.694374,0.443698,0.346999,0.277305,?,0.134325,0.098063,0.129451,0.123337,0.151916,?,?,0.072176,0.218684,64,?,128,?,?,?,0.649594,?,1,1,0,0,0
0.064067,0.147375,0.078124,?,4.052059,?,2.063466,0.531396,0.877409,?,0.089885,0.51714,0.166582,0.775128,0.812568,?,0.036757,0.120716,?,3.813653,?,?,0.607092,?,0.487347,0.453649,0.476279,0.440538,?,0.436823,0.474516,0.455837,0.019871,0.052885,0.008053,2.713319,0.424945,?,0.336648,0.271894,0.182622,0.2211,0.201635,?,0.182256,?,0.258205,0.18109,0.024036,0.051788,0.030206,3.777514,?,0.182281,0.159225,0.10201,?,0.085498,?,0.078375,0.067474,?,0.09447,?,0.167898,60,?,?,?,0.755628,0.427281,1.182908,?,1,0,0,0,0
0.044949,?,0.097908,?,?,0.898913,1.641708,?,1.269593,0.884284,0.808403,0.150058,0.474578,?,0.698994,?,0.037329,0.129705,?,5.843585,1.562391,1.162586,1.095826,?,?,?,0.648638,?,?,0.483505,0.565364,0.464623,0.02144,?,0.009317,?,0.584095,?,0.433472,0.405403,0.263973,0.279862,0.233755,0.246134,0.193811,?,0.197081,0.157612,?,?,0.028444,3.708926,?,?,0.237802,0.2602,?,0.116184,?,0.105881,?,0.081464,?,0.071943,?,53,0.059756,?,?,?,?,?,?,?,0,0,0,1
0.081354,0.302058,0.09724,-76.209068,2.419066,1.353814,?,1.077603,1.078218,0.875479,0.858871,?,?,?,0.620638,0.670318,?,?,0.04596,6.512197,1.529419,1.16659,0.81849,0.716019,?,0.539359,0.464374,0.512859,0.502584,0.477341,0.467416,?,0.018392,?,0.009042,?,0.392817,?,?,0.194697,0.217095,0.107007,0.121507,?,0.155098,0.146949,0.173602,0.145579,0.019922,0.03042,?,3.928069,0.223277,0.164591,0.181582,0.118775,0.114469,0.061956,0.079447,0.068104,0.08977,?,0.076139,0.103849,0.78087,66,1.156114,?,?,?,1.204185,2.335258,1,1,0,?,0,0
0.039819,?,0.073635,-83.146547,?,1.280494,?,?,0.401406,0.008756,0.388885,0.428252,0.200104,?,0.508959,0.575344,0.010135,0.019275,?,3.299295,0.862004,0.643745,0.491714,0.487018,0.395002,0.451746,0.415611,0.419919,0.380613,?,0.393594,?,0.014836,0.038131,0.008281,5.209001,1.18906,?,0.420646,0.47551,0.277937,0.409208,?,0.470132,0.247319,0.33531,0.309596,0.288299,?,0.061662,0.030883,4.743869,0.704132,?,0.181521,0.135988,0.128187,0.14627,0.137304,0.15968,0.147272,0.185677,0.114503,?,?,100,?,200,2,0.084776,0.137788,0.248702,0,?,1,?,1,0
