@RELATION flags
@attribute landmass	{1, 2, 3, 4, 5, 6}
@attribute zone	{1, 2, 3, 4}
@attribute area	numeric
@attribute population numeric
@attribute language {1, 2, 3, 4, 5, 6, 7, 8, 9, 10} 
@attribute religion {0, 1, 2, 3, 4, 5, 6, 7}
@attribute bars     numeric
@attribute stripes  numeric
@attribute colours  numeric
@attribute circles  numeric
@attribute crosses  numeric
@attribute saltires numeric
@attribute quarters numeric
@attribute sunstars numeric
@attribute crescent {0, 1}
@attribute triangle {0, 1}
@attribute icon     {0, 1}
@attribute animate  {0, 1}
@attribute text     {0, 1}
@attribute red      {0, 1}
@attribute green    {0, 1}
@attribute blue     {0, 1}
@attribute yellow   {0, 1}
@attribute white    {0, 1}
@attribute black    {0, 1}
@attribute orange   {0, 1}
@data
?,1,648,?,10,2,0,3,5,0,0,0,0,1,0,0,?,0,0,1,1,0,1,?,?,0
3,1,29,3,6,6,0,0,3,0,0,0,?,1,0,0,0,?,0,1,0,0,1,0,1,0
4,1,2388,?,8,2,2,0,3,?,0,0,0,1,1,0,?,0,0,1,1,?,0,1,?,0
?,3,0,?,1,1,0,0,5,0,0,0,0,?,0,1,1,1,0,?,0,1,1,1,0,1
3,1,0,0,6,0,3,0,3,0,0,0,0,0,0,?,0,0,0,1,0,1,1,?,0,?
4,?,1247,7,10,?,0,2,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,4,0,?,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,?,?,?,1
1,4,0,0,1,1,0,1,5,0,0,0,0,1,?,1,0,0,0,?,0,1,1,1,1,0
2,3,2777,28,2,0,?,3,2,0,?,0,0,0,0,0,0,0,?,0,0,1,?,?,0,0
2,3,2777,28,2,0,0,3,3,0,0,0,0,?,0,0,?,?,0,0,?,1,1,1,0,0
6,2,7690,15,1,1,0,0,3,0,1,1,1,6,0,0,0,0,0,?,0,1,0,1,0,0
3,1,84,8,4,0,0,3,?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,4,19,0,1,1,0,3,?,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
5,1,1,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,?,0,0,0,1,0,?
5,1,143,90,6,2,0,0,2,1,0,?,0,0,0,0,0,0,0,1,1,0,0,?,0,0
1,4,0,0,1,1,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
3,1,31,10,6,0,3,?,3,0,0,0,0,0,0,0,0,0,?,?,?,0,1,0,1,0
1,4,23,0,?,1,0,2,8,1,0,0,0,0,0,0,1,1,1,1,?,1,1,1,1,1
4,1,113,3,3,5,0,0,?,0,0,0,0,1,0,0,?,0,0,1,1,0,0,0,?,0
1,4,0,0,1,1,0,?,6,?,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0
5,1,?,1,10,3,0,0,4,4,?,0,0,0,0,?,0,1,0,1,0,0,0,1,1,1
?,3,1099,6,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
4,2,600,1,10,5,?,5,3,0,0,0,0,0,0,?,0,0,0,0,0,1,0,1,1,0
2,3,8512,119,6,0,0,0,4,1,0,0,0,22,0,0,0,0,1,0,1,1,1,1,0,0
1,4,?,0,1,1,?,0,6,0,?,1,1,0,0,0,1,1,?,1,1,1,1,1,?,1
5,1,6,?,10,2,0,0,4,0,0,0,0,0,0,1,?,1,1,1,0,0,1,1,1,0
3,1,?,9,5,?,0,3,5,0,?,0,0,1,0,0,1,?,0,1,1,1,1,?,0,?
4,4,274,7,3,5,0,2,3,0,0,0,0,1,0,?,0,0,?,1,1,0,1,0,0,0
5,1,678,35,?,3,0,0,3,0,?,?,1,?,0,0,1,1,0,1,0,1,0,1,0,0
4,2,28,4,10,5,0,?,3,1,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0
4,1,?,8,3,1,3,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
1,4,9976,24,?,1,2,?,?,0,0,0,?,?,0,0,0,1,?,1,0,?,0,1,?,0
4,4,?,0,6,0,1,2,5,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1
1,4,0,0,1,1,0,0,6,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,0,?
4,?,623,2,10,5,1,0,5,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,?,?
4,1,?,4,3,5,3,0,3,0,0,?,?,0,0,0,0,0,?,1,0,1,1,0,?,0
2,3,757,?,?,0,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,?
5,1,9561,1008,7,6,0,0,2,0,0,0,0,5,0,0,0,0,0,?,?,0,1,0,0,0
2,4,1139,28,2,?,0,3,3,0,0,0,?,0,0,0,0,0,0,1,0,1,?,?,0,0
4,2,2,0,3,2,0,0,2,0,0,0,0,4,1,?,0,0,0,0,1,0,0,1,0,0
4,2,?,2,10,5,?,0,3,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,?,0
6,3,0,?,1,1,?,0,4,1,1,1,1,15,0,0,0,0,0,1,0,1,0,1,0,?
1,4,51,2,2,0,0,5,3,0,0,0,0,0,0,0,?,0,0,1,0,1,0,1,0,0
1,4,?,10,2,6,0,5,3,0,0,0,0,1,0,1,0,0,0,1,0,?,0,?,0,?
3,1,9,1,6,1,0,0,3,?,0,0,0,0,0,0,1,1,?,0,1,?,1,1,0,0
3,1,128,15,?,?,0,?,?,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
3,1,43,5,6,1,0,0,2,0,?,0,0,0,?,0,0,0,0,1,0,?,0,?,0,0
