dataset: flags,  classificador: BR,  metodo: KMI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: KNNI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: MC --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: CMC --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: WKNNI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: HOMER,  metodo: KMI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: KNNI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: MC --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: CMC --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: WKNNI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: CC,  metodo: KMI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: KNNI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: MC --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: CMC --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: WKNNI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: MLKNN,  metodo: KMI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: KNNI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: MC --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: CMC --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: WKNNI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: ECC,  metodo: KMI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: KNNI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: MC --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: CMC --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: WKNNI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: BR,  metodo: KMI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: KNNI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: MC --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: CMC --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: BR,  metodo: WKNNI --> EM [0.6086900406001776], ACC [0.7089342105263157], HL [0.2627067669172932]
dataset: flags,  classificador: HOMER,  metodo: KMI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: KNNI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: MC --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: CMC --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: HOMER,  metodo: WKNNI --> EM [0.6105011705099946], ACC [0.6836209273182957], HL [0.2624436090225563]
dataset: flags,  classificador: CC,  metodo: KMI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: KNNI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: MC --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: CMC --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: CC,  metodo: WKNNI --> EM [0.6107181897884464], ACC [0.695561403508772], HL [0.26996240601503757]
dataset: flags,  classificador: MLKNN,  metodo: KMI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: KNNI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: MC --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: CMC --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: MLKNN,  metodo: WKNNI --> EM [0.6352256264547286], ACC [0.7300570175438597], HL [0.2527443609022556]
dataset: flags,  classificador: ECC,  metodo: KMI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: KNNI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: MC --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: CMC --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
dataset: flags,  classificador: ECC,  metodo: WKNNI --> EM [0.6462165158742408], ACC [0.7257587719298245], HL [0.24105263157894735]
