Db KMIe KNNIe MCe CMCe WKNNIe EvoImpe KMIa KNNIa MCa CMCa WKNNIa EvoImpa KMIh KNNIh MCh CMCh WKNNIh EvoImph
b 46.67 48.54 51.32 51.22 51.31 52.57 58.01 61.82 62.33 60.91 62.32 62.94 05.52 05.21 05.05 05.06 05.13 05.01
c 33.77 34.92 33.93 34.13 34.86 35.24 44.04 44.88 44.87 45.12 44.75 44.73 15.81 15.92 15.55 15.42 15.91 15.87
e 50.78 50.82 48.83 51.21 50.71 51.44 54.04 56.74 53.42 56.77 56.54 57.24 24.92 25.02 25.94 24.78 25.32 24.51
f 58.82 58.88 60.22 59.41 58.44 61.94 70.02 68.75 69.82 69.51 68.63 68.48 27.42 28.49 27.86 28.03 28.63 27.76
s 53.59 56.92 51.04 52.81 56.93 58.12 51.23 55.85 48.84 50.71 55.27 56.68 14.14 13.34 14.67 13.93 13.31 13.02
y 50.67 49.72 50.17 50.53 50.64 51.32 59.90 59.92 60.33 61.17 59.94 61.78 24.83 24.96 24.22 23.92 24.89 23.84
b 46.81 48.43 47.71 46.82 46.33 49.87 56.51 60.02 60.24 56.93 57.42 60.11 05.74 05.32 05.12 05.44 05.51 05.32
c 35.54 36.14 34.71 34.63 36.46 36.63 44.45 45.62 45.36 45.22 45.78 45.85 15.52 15.53 14.92 15.04 15.52 15.51
e 47.54 49.87 44.82 49.63 48.25 50.97 53.62 53.24 47.04 52.27 54.43 54.12 26.72 26.05 28.13 25.22 26.56 25.96
f 57.52 60.22 57.43 58.41 60.34 61.64 70.43 73.12 70.99 68.73 73.34 73.72 26.93 26.13 26.22 28.31 25.96 25.22
s 52.65 56.81 47.68 51.82 57.03 58.34 51.12 56.13 43.61 48.16 56.56 57.37 13.94 12.94 15.25 13.91 12.85 12.34
y 49.56 50.64 48.81 48.42 50.22 51.93 59.23 60.31 59.66 59.13 60.37 61.17 24.85 24.59 24.21 24.42 24.67 24.43
b 44.42 45.87 47.32 43.86 44.62 47.36 56.31 57.38 59.03 54.58 54.52 59.14 05.63 05.26 04.98 05.62 05.31 04.92
c 34.73 35.41 36.06 36.01 35.95 36.17 43.91 43.97 47.03 47.55 44.72 47.36 14.92 15.43 14.19 14.04 15.32 14.08
e 48.41 49.43 44.09 47.61 48.13 50.32 52.73 55.32 46.63 53.51 55.74 56.22 26.31 25.59 27.05 25.13 24.92 25.46
f 61.74 61.76 59.03 61.85 63.71 64.35 73.11 73.45 72.14 72.16 74.95 75.07 25.91 24.46 25.95 24.98 23.06 22.87
s 50.72 58.16 46.35 49.64 58.19 58.95 48.94 57.95 41.51 47.15 57.14 57.65 14.24 12.56 15.41 13.54 12.51 12.21
y 47.50 50.94 48.71 49.95 50.94 51.44 57.61 60.25 60.27 60.76 59.91 61.09 24.41 24.34 23.36 23.31 24.74 24.38
b 43.04 45.84 43.28 42.51 43.79 47.37 54.66 58.27 53.94 52.26 55.51 57.65 05.51 04.86 05.15 05.52 05.20 04.97
c 35.82 35.41 35.55 35.47 35.45 36.45 44.02 43.84 47.36 46.38 43.43 44.31 14.44 15.17 13.51 13.64 15.27 14.94
e 50.12 45.44 40.82 48.46 46.23 48.92 52.38 50.34 39.94 51.17 50.49 51.24 25.36 27.28 27.51 24.04 27.42 23.85
f 57.93 61.05 59.61 62.51 60.25 63.37 70.02 71.76 71.74 71.73 72.87 72.12 27.14 24.46 26.04 24.97 23.92 24.56
s 45.52 57.74 43.61 47.48 58.45 58.74 42.01 57.26 39.08 44.34 57.63 57.73 15.23 12.36 15.48 13.69 11.85 11.93
y 49.25 50.92 50.16 49.23 51.57 51.78 58.53 61.06 61.67 61.75 60.85 60.82 24.52 24.07 22.01 22.36 23.92 23.97
b 43.45 43.44 44.15 42.14 43.94 44.75 55.47 56.25 56.56 52.57 57.78 56.91 05.15 05.01 04.84 05.01 04.83 04.73
c 37.76 37.21 37.75 36.26 36.47 37.85 45.81 44.85 50.56 47.77 44.21 50.56 13.94 14.98 12.64 13.01 15.06 12.62
e 43.23 45.14 38.22 46.57 45.06 47.72 44.35 50.13 37.21 49.32 49.41 50.12 25.94 26.82 26.31 23.48 27.09 25.24
f 60.25 58.92 62.23 60.24 59.71 63.46 72.51 72.65 73.13 70.32 72.47 73.04 27.04 25.83 26.08 27.42 25.15 25.31
s 47.14 59.36 39.94 45.16 58.87 60.16 43.34 58.68 36.53 42.32 58.74 59.14 14.61 11.73 16.02 13.61 12.09 11.72
y 49.72 51.75 48.51 49.21 51.21 51.96 62.96 61.65 61.74 61.71 61.08 61.74 21.42 23.21 22.05 21.84 23.68 23.29
b 39.15 39.41 42.27 42.31 41.03 43.36 50.25 51.71 52.82 52.76 53.48 53.03 05.51 05.48 04.94 05.22 05.21 05.14
c 37.13 35.92 37.82 37.65 35.43 38.01 45.21 43.24 49.92 49.01 43.26 47.57 13.62 14.73 12.02 12.21 14.62 12.97
e 44.52 45.96 41.12 48.91 48.03 49.62 48.63 49.22 38.85 53.67 53.65 54.37 26.52 26.81 26.24 24.06 26.13 23.81
f 62.04 62.42 59.71 64.74 63.11 65.54 74.32 74.23 74.74 75.13 74.58 75.46 24.68 24.42 24.84 23.72 24.73 23.26
s 44.53 59.32 39.46 44.18 58.97 59.62 40.94 59.01 35.78 41.92 59.38 59.23 15.37 11.79 15.32 13.52 11.74 11.62
y 50.13 51.82 49.71 49.04 51.57 52.71 59.96 62.23 62.72 63.02 62.04 62.84 23.52 22.83 20.92 21.04 22.94 22.52
