Db KMIe KNNIe MCe CMCe WKNNIe EvoImpe KMIa KNNIa MCa CMCa WKNNIa EvoImpa KMIh KNNIh MCh CMCh WKNNIh EvoImph
b 49.62 48.56 49.91 50.45 50.21 51.46 61.52 60.81 61.44 60.99 61.62 62.26 05.21 05.25 05.06 05.11 05.36 05.02
c 34.64 34.92 34.34 34.56 34.81 35.34 40.06 40.14 40.21 40.46 40.05 40.32 17.34 17.46 17.14 17.01 17.42 17.13
e 49.82 49.91 45.86 48.82 48.81 52.06 55.45 55.68 52.82 53.59 54.76 56.56 25.72 25.42 27.34 26.72 25.86 25.61
f 59.52 58.98 60.56 59.76 59.32 62.26 66.72 67.11 68.62 68.18 67.92 70.06 29.71 29.82 28.26 28.71 29.08 26.86
s 56.52 59.78 51.51 54.26 58.17 59.96 56.82 61.84 51.42 55.46 60.36 62.02 14.14 13.62 15.52 13.88 14.04 13.52
y 49.29 49.82 48.14 48.12 49.98 50.36 56.22 56.38 54.54 55.02 56.44 56.48 26.56 26.48 26.61 26.46 26.42 26.51
b 46.22 48.16 48.44 45.12 45.92 49.56 57.61 60.52 60.38 55.76 58.13 61.62 05.41 05.36 05.02 05.38 05.56 04.92
c 36.18 35.56 34.82 35.08 35.31 36.06 45.45 42.02 40.76 40.61 41.68 41.82 16.32 16.52 16.31 16.36 16.72 16.56
e 45.92 49.48 41.71 49.66 48.38 50.92 52.36 54.25 46.07 52.02 55.06 54.92 28.08 26.89 29.52 27.24 26.56 26.44
f 57.16 59.62 57.74 58.33 61.05 61.58 69.72 71.76 71.41 68.12 72.26 72.82 28.18 27.12 26.76 28.81 26.08 25.36
s 53.54 59.92 48.46 52.72 58.71 60.08 54.16 61.85 46.32 51.16 60.32 61.96 14.12 13.18 15.77 14.09 13.66 13.12
y 48.52 49.26 47.24 46.96 49.32 50.56 55.34 55.69 53.82 53.89 56.92 57.75 26.24 26.62 26.54 26.26 26.28 25.66
b 44.52 45.38 46.62 41.91 44.28 46.62 55.16 56.21 57.62 52.88 55.62 57.61 05.72 05.32 05.08 05.59 05.32 05.06
c 35.82 35.06 35.39 34.62 34.51 35.75 41.46 41.92 41.18 40.92 41.36 42.52 16.06 16.28 15.62 15.76 16.38 15.67
e 47.96 47.92 42.16 50.31 47.88 50.96 50.92 56.28 42.06 55.24 53.76 56.08 27.12 26.16 27.42 24.54 26.76 24.18
f 61.52 62.36 58.11 60.89 62.82 64.89 72.02 73.46 72.09 72.92 73.74 74.19 26.12 24.87 26.42 25.74 24.32 23.62
s 51.72 59.86 47.31 50.26 59.02 60.18 52.04 62.42 44.26 48.61 61.02 62.75 14.56 12.92 15.24 13.56 13.12 12.82
y 46.11 51.36 48.34 46.72 51.06 51.82 53.16 57.91 55.22 53.88 57.46 58.16 26.02 25.05 25.14 26.02 25.38 24.96
b 42.02 44.84 43.96 43.46 44.33 46.17 53.25 57.48 55.44 53.13 55.42 58.14 05.52 05.06 05.07 05.32 05.26 04.92
c 35.74 36.16 34.91 34.78 35.26 36.62 41.26 42.34 41.85 40.38 41.34 43.48 15.46 15.82 14.84 15.21 16.16 15.32
e 44.98 47.93 38.52 47.94 45.92 49.38 48.92 51.91 36.74 52.58 50.03 53.55 27.82 26.68 28.39 24.91 27.64 25.86
f 57.62 61.38 58.97 60.76 59.02 61.88 68.91 70.86 70.72 70.54 71.26 71.26 28.92 25.51 26.75 26.62 25.66 25.57
s 46.52 59.77 42.26 48.05 59.18 59.76 44.22 61.64 38.38 45.72 61.62 61.62 15.12 12.64 16.22 13.79 12.72 12.69
y 48.82 49.91 46.06 45.92 51.38 51.41 56.42 56.56 53.08 53.16 58.51 58.68 25.66 25.88 25.62 25.64 24.82 24.71
b 44.13 43.42 43.15 41.28 45.42 45.78 54.62 55.51 55.06 51.62 58.34 58.42 05.06 05.21 04.75 04.92 04.74 04.72
c 37.56 35.88 36.12 35.51 36.36 37.23 43.72 41.91 43.26 42.72 42.81 44.86 14.64 15.72 14.24 14.28 15.42 14.56
e 42.24 46.12 37.26 45.08 46.22 48.76 43.02 49.81 35.92 48.76 49.31 52.19 26.82 27.18 27.26 27.61 27.15 26.22
f 59.32 60.66 60.92 59.28 61.24 62.35 72.66 72.32 72.44 71.26 72.58 72.22 26.87 25.92 26.84 26.92 25.65 25.61
s 46.75 59.94 39.62 45.96 60.12 61.56 43.94 63.26 36.72 42.92 62.26 63.98 14.65 12.34 15.82 13.76 12.52 11.77
y 46.15 51.52 46.63 46.28 51.39 51.67 54.12 58.72 54.55 53.59 58.92 58.97 24.36 24.52 24.24 24.52 24.56 24.48
b 42.06 40.62 44.97 40.66 41.34 45.49 54.25 52.87 55.92 51.46 52.85 56.49 05.02 05.28 04.76 05.11 05.12 04.64
c 36.83 35.05 35.42 36.58 34.92 38.76 44.24 41.92 43.76 44.25 40.92 45.81 14.02 15.26 13.43 13.49 15.44 13.82
e 42.55 44.82 38.18 48.09 45.74 48.80 47.06 50.22 37.79 52.95 50.91 54.42 26.90 27.44 26.66 24.54 27.48 24.26
f 61.60 61.65 59.86 62.92 63.31 64.14 75.42 73.26 75.18 74.82 74.19 75.47 24.62 26.06 24.98 24.76 25.12 24.14
s 43.40 59.85 38.73 45.44 58.83 60.15 41.62 62.53 34.64 43.23 62.18 63.29 15.20 12.02 15.36 13.21 12.25 12.03
y 49.77 52.86 47.40 47.27 52.56 53.12 57.91 60.48 54.96 55.64 60.32 60.65 24.10 23.23 23.35 23.01 23.46 23.12
