Db KMIe KNNIe MCe CMCe WKNNIe EvoImpe KMIa KNNIa MCa CMCa WKNNIa EvoImpa KMIh KNNIh MCh CMCh WKNNIh EvoImph
b 53.72 54.43 52.75 52.79 53.61 54.69 64.42 65.78 64.31 63.40 65.76 65.32 04.23 04.26 04.27 04.21 04.26 04.28
c 54.52 54.88 54.29 54.12 55.16 36.64 54.36 55.02 56.89 55.72 54.64 56.09 14.12 14.16 13.79 13.82 14.16 13.72
e 55.56 56.82 52.16 58.26 56.92 58.68 61.92 65.86 59.12 64.57 63.42 63.93 20.22 19.05 20.93 18.94 19.76 19.18
f 61.32 62.09 61.60 62.62 62.25 65.68 71.02 70.26 70.72 71.58 69.72 72.56 25.71 25.46 26.22 25.67 25.92 24.84
s 59.92 63.93 56.14 57.92 64.46 64.46 59.82 65.84 54.83 57.32 65.84 65.89 09.82 08.83 10.30 09.82 08.87 08.88
y 54.52 54.86 54.24 54.12 55.18 55.39 69.02 68.80 69.44 69.41 69.13 69.39 20.52 20.46 19.91 19.82 20.36 20.23
b 45.25 46.62 49.13 47.99 48.10 49.28 60.02 61.97 61.32 58.92 61.65 61.26 04.42 04.41 04.23 04.35 04.36 04.27
c 54.16 55.82 51.96 52.98 55.72 37.51 56.16 55.54 57.22 57.58 55.46 58.14 13.55 13.83 13.14 13.18 13.86 13.33
e 53.82 53.87 46.85 54.20 54.51 55.35 60.83 60.71 52.02 61.93 60.62 61.14 21.23 20.92 22.46 20.32 21.27 20.92
f 61.33 61.37 61.52 62.78 60.93 65.03 71.51 72.28 72.92 73.33 73.09 74.05 26.24 25.52 24.46 24.84 25.82 24.83
s 59.05 64.82 52.73 56.77 65.26 65.26 58.14 66.28 48.72 55.16 66.87 66.87 09.82 08.74 10.93 09.78 08.42 08.42
y 54.19 55.82 51.97 52.93 54.08 56.06 70.07 70.32 69.49 69.72 70.17 70.66 19.92 19.78 19.91 19.82 19.79 19.63
b 47.24 47.39 47.82 44.18 47.33 50.04 58.07 61.09 60.81 57.66 60.48 59.64 04.41 04.23 04.23 04.37 04.28 04.25
c 51.92 56.09 52.90 53.77 56.06 38.25 57.78 57.62 60.23 58.54 57.93 60.12 12.96 13.25 12.37 12.53 13.12 12.39
e 53.02 52.78 45.13 54.54 52.02 55.34 59.75 63.78 48.52 62.46 61.01 62.49 21.35 20.03 22.67 19.68 20.72 19.29
f 62.52 63.89 59.67 60.45 64.32 67.09 73.74 73.05 71.20 71.36 73.72 74.48 24.34 23.95 26.57 26.02 23.69 22.92
s 56.64 64.82 49.73 53.68 64.62 64.88 56.32 65.56 46.72 51.20 66.06 65.52 10.17 08.52 10.96 10.04 08.69 08.52
y 51.94 56.01 52.92 53.78 56.09 56.32 66.46 70.52 71.58 71.05 70.06 72.08 20.02 19.39 19.13 18.87 19.39 19.16
b 47.15 46.53 46.58 46.92 47.59 51.07 56.92 59.26 58.68 58.22 58.47 59.46 04.15 04.16 04.02 04.08 04.19 03.96
c 53.82 56.36 52.78 52.46 57.17 39.12 58.82 57.67 61.92 62.09 57.35 62.51 12.26 12.88 11.66 11.64 12.98 11.62
e 51.32 53.28 45.56 51.98 52.40 54.67 57.16 60.01 43.78 59.32 60.92 61.16 20.74 20.42 22.29 19.44 20.82 20.07
f 59.92 62.56 61.07 61.74 62.02 63.89 71.45 72.49 71.63 70.67 72.42 73.46 26.57 24.09 25.55 26.79 24.34 23.34
s 49.85 65.32 46.39 53.87 65.26 65.37 47.12 66.96 41.75 51.90 66.88 66.95 11.12 08.23 11.54 09.56 08.35 08.23
y 53.88 56.32 52.70 52.45 57.19 57.42 69.36 70.97 72.62 72.06 70.97 71.24 19.82 19.09 18.52 18.67 18.92 18.80
b 44.15 43.63 45.42 45.77 44.26 48.56 59.72 59.82 58.79 58.36 59.54 59.55 03.72 03.77 03.76 03.75 03.82 03.65
c 52.92 57.29 53.43 53.14 57.16 40.32 61.26 59.18 64.93 63.64 59.72 63.56 11.68 12.46 10.92 10.14 12.46 11.24
e 44.38 51.93 38.00 50.97 50.42 53.83 46.62 56.54 38.08 58.62 55.46 61.24 22.02 22.06 22.28 18.42 22.37 18.24
f 61.54 61.90 61.98 60.86 60.82 63.44 73.02 74.30 73.56 73.24 72.38 73.11 25.88 24.02 25.56 25.14 25.21 25.48
s 51.36 66.55 44.27 51.42 65.76 66.67 48.65 68.52 40.28 50.07 68.02 68.79 10.52 07.94 11.56 09.62 08.17 07.99
y 52.92 57.28 53.44 53.15 57.16 57.72 73.07 71.45 73.42 72.84 71.96 72.02 17.88 18.74 17.73 18.05 18.42 18.27
b 42.35 42.28 46.43 47.35 42.02 49.86 55.14 54.92 54.94 58.26 55.07 56.51 03.95 04.17 03.92 03.86 04.12 03.88
c 54.82 58.26 53.42 53.47 57.89 40.80 63.32 58.67 66.69 66.12 59.77 66.26 11.02 12.28 10.24 10.32 12.11 10.39
e 49.34 53.72 35.23 54.67 54.15 55.16 56.01 62.98 35.36 65.25 63.38 64.67 21.42 19.72 22.10 18.55 19.76 18.22
f 65.73 63.65 62.47 64.82 62.89 65.64 78.23 75.35 76.48 76.72 74.86 77.47 22.76 23.27 24.26 22.82 24.07 22.52
s 48.96 65.70 42.77 50.54 65.02 65.76 47.37 68.92 38.75 48.69 67.52 68.97 10.92 07.65 11.32 09.67 08.02 07.65
y 54.82 58.28 53.49 53.42 57.87 58.34 72.92 73.19 74.92 75.28 73.42 73.46 18.28 17.71 16.92 16.87 17.76 17.62
