Db KMIe KNNIe MCe CMCe WKNNIe EvoImpe KMIa KNNIa MCa CMCa WKNNIa EvoImpa KMIh KNNIh MCh CMCh WKNNIh EvoImph
b 43.83 48.63 49.72 48.13 49.21 52.47 54.05 59.51 58.92 56.42 60.03 60.72 06.62 05.96 05.84 06.12 06.25 05.58
c 36.43 36.41 35.36 36.48 36.54 37.93 35.01 35.64 34.42 34.74 35.21 35.56 20.42 20.21 20.52 20.45 20.47 20.39
e 47.12 51.04 46.72 51.12 49.37 53.05 51.92 54.96 50.70 55.73 53.62 56.31 26.64 25.62 26.43 25.28 26.41 24.85
f 61.32 61.53 60.69 60.02 60.23 63.02 68.25 67.72 67.71 66.04 67.82 68.42 27.33 27.83 27.72 29.12 27.51 27.28
s 51.92 54.47 50.43 51.72 55.04 55.32 48.78 52.66 47.95 48.83 53.12 53.35 14.90 14.26 15.22 14.62 14.04 14.01
y 50.42 50.12 48.97 50.04 50.79 50.92 58.24 58.63 57.12 56.94 58.82 58.64 25.98 25.70 26.53 26.41 26.02 26.13
b 44.92 46.96 45.29 43.16 47.72 48.25 55.32 56.41 57.09 52.73 57.26 57.74 06.52 06.42 06.15 06.43 06.12 06.04
c 35.72 36.84 35.93 36.92 36.92 37.95 34.33 36.38 34.62 34.95 36.03 36.75 20.03 19.62 19.66 19.62 19.71 19.52
e 48.9 48.83 43.74 49.54 49.62 50.64 53.46 53.32 47.43 52.21 53.74 53.95 26.21 26.72 27.06 26.83 26.68 26.32
f 60.74 60.32 58.93 60.74 60.48 61.23 68.94 71.52 67.73 67.71 69.92 67.87 27.42 25.93 27.64 27.92 27.01 27.74
s 52.12 55.23 47.05 47.79 55.38 55.72 49.44 53.23 43.18 44.08 53.56 53.53 14.35 13.78 16.02 15.64 13.82 13.71
y 50.54 50.52 50.31 48.95 50.03 53.98 58.82 58.01 58.44 57.58 57.63 58.44 25.72 25.72 25.03 25.51 26.21 25.87
b 42.13 45.62 47.24 43.32 44.68 47.34 50.22 56.01 57.65 51.63 56.01 57.88 06.83 06.11 06.07 06.82 06.14 06.02
c 36.82 37.64 36.33 35.61 37.02 37.73 36.22 36.94 34.85 34.47 36.72 37.23 18.52 18.91 19.12 19.13 18.91 18.72
e 47.43 47.52 42.24 48.12 45.75 49.34 51.92 50.11 44.42 51.58 49.59 52.52 27.31 26.82 26.56 25.42 26.81 24.71
f 60.72 62.41 61.01 59.22 61.73 63.98 70.24 72.93 69.14 68.42 73.13 72.84 25.72 23.87 26.82 26.73 23.71 23.62
s 50.91 56.42 44.45 48.42 56.41 57.04 47.86 54.52 40.31 45.15 54.98 55.83 14.72 13.61 16.02 14.47 13.42 13.36
y 47.32 50.34 49.02 49.94 50.98 51.64 54.23 57.91 58.27 57.31 58.82 58.31 25.47 25.76 24.62 25.34 25.52 25.67
b 42.62 44.24 44.38 43.27 43.93 45.14 52.07 52.93 54.32 51.74 55.18 54.72 06.34 06.12 05.74 06.34 05.92 05.94
c 35.72 37.34 34.92 35.34 37.25 37.53 34.92 36.48 34.45 34.62 36.35 36.52 18.24 18.46 18.14 18.17 18.32 18.36
e 46.75 49.13 40.01 46.85 47.69 49.68 48.54 51.41 39.54 51.15 49.05 52.37 27.23 26.32 27.14 25.34 27.32 26.04
f 58.62 60.54 56.72 62.18 60.48 64.54 67.82 70.31 66.97 69.11 70.44 69.93 27.62 25.44 27.48 25.13 25.52 24.27
s 46.67 56.72 42.96 47.32 56.03 57.54 42.73 55.52 38.31 43.92 55.88 56.47 15.44 12.93 16.01 14.12 13.15 12.62
y 49.07 51.62 48.57 49.16 50.82 51.84 57.13 59.67 56.78 57.12 58.46 59.44 25.65 24.72 24.54 24.82 25.21 24.88
b 43.62 41.95 43.56 40.18 41.81 44.98 54.43 54.34 55.82 52.53 55.78 58.04 05.62 05.74 05.56 05.78 05.92 05.42
c 36.02 36.92 36.63 36.18 37.55 37.79 37.32 37.93 34.88 35.04 38.16 38.43 16.62 17.58 17.62 17.51 17.34 17.35
e 37.34 46.42 39.28 46.32 45.17 47.79 35.23 46.87 37.72 47.64 47.25 49.48 30.53 27.82 27.01 25.87 28.23 25.28
f 59.64 59.78 62.03 59.82 59.64 63.63 68.11 70.02 68.18 68.53 70.35 68.81 28.92 26.23 28.28 27.49 25.81 27.73
s 47.34 55.52 41.28 46.72 55.56 55.73 44.01 55.02 38.22 44.19 54.92 55.06 14.72 13.26 15.32 13.64 13.38 13.39
y 49.12 51.54 48.92 49.13 51.52 51.15 57.92 60.03 57.18 57.42 59.92 60.21 23.88 24.33 24.22 24.01 24.38 24.13
b 38.35 41.72 40.84 40.48 40.52 42.93 50.44 52.92 51.75 48.73 51.21 51.68 06.22 06.28 05.73 06.24 06.58 05.43
c 35.67 36.68 36.13 35.54 36.26 36.88 37.55 37.74 34.98 34.32 37.05 37.78 16.16 17.04 16.46 16.87 17.22 17.06
e 43.54 46.78 40.64 49.26 48.12 50.04 46.26 50.02 38.34 53.35 52.88 51.42 27.05 26.92 26.36 24.34 25.88 25.42
f 61.14 65.26 63.54 63.02 64.12 66.24 71.45 74.88 72.73 74.34 74.15 75.48 25.72 22.76 24.94 23.96 24.02 22.24
s 44.46 54.92 38.34 43.68 55.44 56.45 42.03 55.12 33.86 41.32 55.04 56.25 15.48 12.92 16.26 14.12 13.07 12.75
y 49.85 52.04 48.68 50.76 52.62 52.87 59.92 61.84 59.86 60.11 61.52 61.55 23.86 23.42 22.44 22.02 23.36 23.24
