Db KMIe KNNIe MCe CMCe WKNNIe EvoImpe KMIa KNNIa MCa CMCa WKNNIa EvoImpa KMIh KNNIh MCh CMCh WKNNIh EvoImph
b 46.52 50.44 47.14 49.82 49.04 51.43 60.32 59.74 58.76 60.52 59.67 60.76 04.62 04.74 04.76 04.52 04.74 04.78
c 36.06 35.62 36.24 36.46 36.08 36.64 61.22 61.40 61.59 62.26 60.61 62.28 13.42 13.54 13.11 13.23 13.52 13.24
e 57.64 57.23 54.64 56.93 57.74 59.32 67.71 69.43 64.18 67.11 69.52 69.43 19.11 18.72 19.73 19.25 18.97 18.35
f 61.42 61.61 61.25 60.98 61.82 62.44 70.63 70.91 73.26 72.42 71.21 71.54 27.72 27.31 26.44 26.72 27.38 27.13
s 63.74 67.82 58.57 64.02 68.08 68.13 65.67 71.72 57.88 66.26 72.15 72.15 09.13 07.94 10.32 08.84 07.92 07.92
y 56.24 57.88 55.96 55.62 58.03 58.21 72.46 72.92 73.16 72.85 72.66 72.62 19.21 18.78 18.82 18.94 18.78 18.78
b 47.02 46.04 44.28 43.93 46.07 47.92 55.94 57.62 55.53 56.24 56.88 57.04 04.62 04.64 04.66 04.51 04.68 04.62
c 36.14 36.78 37.66 36.92 36.64 37.72 61.51 61.88 65.53 65.44 61.89 65.66 13.01 13.22 12.46 12.52 13.21 12.46
e 55.46 55.18 50.82 56.06 54.07 56.96 65.62 64.05 56.69 65.92 64.06 66.67 20.26 20.62 21.87 19.72 20.96 19.62
f 59.94 60.26 59.42 62.37 59.48 63.11 72.85 72.48 70.82 73.64 72.05 73.86 26.42 26.78 27.61 25.12 27.04 24.92
s 60.92 69.46 48.92 59.88 69.72 69.87 62.11 74.82 43.89 61.34 74.96 74.96 09.52 07.38 11.92 09.56 07.32 07.32
y 56.23 58.14 54.29 54.92 58.14 58.46 73.02 73.24 73.38 73.02 73.16 73.22 18.78 18.22 18.78 18.46 18.24 18.12
b 45.62 45.34 45.46 46.01 43.54 48.16 56.24 57.58 55.24 57.26 56.34 60.36 04.51 04.42 04.54 04.36 04.52 04.36
c 36.52 37.74 39.56 39.02 37.74 39.56 62.22 61.01 67.28 67.09 61.46 67.47 12.62 12.74 11.64 11.72 12.76 11.64
e 55.02 54.64 47.48 53.29 54.24 55.31 64.44 65.45 54.78 64.49 65.01 65.86 20.62 19.88 21.12 19.91 20.26 19.52
f 60.56 61.14 56.62 58.48 60.62 61.87 72.96 72.02 72.14 70.32 71.75 72.42 26.16 26.62 27.34 28.18 27.12 26.41
s 59.56 70.24 42.32 57.51 70.56 70.56 59.82 75.14 35.72 56.62 75.38 75.28 09.92 07.11 12.72 09.87 07.11 07.11
y 53.74 59.82 55.81 55.66 59.62 59.92 69.65 73.19 73.81 74.36 73.02 73.27 19.29 17.44 17.92 17.87 17.56 17.44
b 43.82 45.62 45.04 46.49 44.52 50.91 57.56 57.14 54.97 55.62 56.65 57.64 04.14 04.14 04.22 04.14 04.14 04.71
c 38.29 37.82 40.14 40.02 37.96 40.14 63.76 62.92 69.94 70.08 62.94 69.96 11.81 12.44 11.05 11.05 12.41 11.05
e 53.42 55.14 41.06 52.07 55.26 55.96 59.41 63.97 42.25 61.26 64.84 65.52 21.21 20.18 22.79 19.32 20.31 20.26
f 61.71 61.67 59.49 60.62 61.82 63.17 74.36 75.34 74.82 74.76 74.87 76.26 24.15 24.62 25.84 25.76 24.74 23.92
s 54.15 71.92 39.88 54.59 71.41 72.06 51.82 77.34 34.32 52.56 77.22 77.26 10.31 06.72 12.56 10.01 06.72 06.72
y 54.66 60.24 53.32 53.84 60.62 60.76 68.82 74.74 76.06 75.92 74.94 75.06 19.88 16.82 17.76 17.51 16.72 17.44
b 44.16 44.24 41.36 42.21 47.06 47.37 56.72 58.22 56.86 56.81 58.56 58.82 03.82 03.86 03.84 03.85 03.82 03.82
c 39.28 39.16 41.94 41.25 38.79 41.94 63.32 62.92 70.64 69.62 62.66 70.71 11.52 12.16 10.34 10.55 12.18 10.34
e 43.54 53.02 33.78 47.92 50.52 53.64 42.92 58.48 30.36 54.64 55.57 59.16 21.92 21.54 22.72 19.74 22.02 21.24
f 60.56 60.32 62.24 58.76 59.84 62.55 75.42 75.29 74.21 75.82 74.95 74.36 26.39 25.02 25.96 26.52 25.84 25.64
s 52.65 72.24 36.32 50.96 72.34 72.58 49.64 78.31 32.02 48.36 78.17 78.46 10.52 06.41 12.44 10.42 06.41 06.41
y 54.42 61.25 54.49 54.31 61.06 61.88 76.76 74.91 77.14 77.36 75.05 75.21 17.02 16.16 16.82 16.91 16.16 16.78
b 42.32 42.16 38.58 42.57 39.82 46.99 55.11 54.46 55.34 55.26 54.25 55.76 03.92 04.01 03.92 03.92 04.08 04.06
c 39.74 38.26 42.52 42.64 38.12 42.71 65.76 63.84 74.08 73.65 64.24 73.65 10.92 11.86 09.68 09.72 11.74 09.78
e 50.02 52.99 31.62 52.64 54.94 55.08 57.56 63.01 28.56 64.88 64.86 65.57 20.91 20.35 22.46 19.62 19.68 19.51
f 65.72 63.36 61.38 64.32 60.71 65.19 79.12 77.45 81.27 77.99 77.32 76.06 22.61 24.22 23.45 22.98 25.16 24.12
s 51.32 72.26 34.62 48.84 72.26 72.32 49.44 78.92 31.56 45.68 79.12 79.04 10.62 06.26 12.18 10.44 06.12 06.12
y 52.56 62.58 53.72 54.31 62.88 63.09 73.61 75.85 79.42 79.24 76.16 76.12 18.88 15.26 16.12 16.14 15.14 15.14
